"Your_Fund","Fund_Investment","Your_Fund_Percent","Company","Initial_Investment_Year","Initial_Inv_Qtr_End_Date","Stage_of_First_Investment","Current_Stage","Industry","Geography","As_Of_Date","YF_Currency","Unrealized_Cost_YF_Cur","Realized_Cost_YF_Cur","Total_Cost_YF_Cur","Recent_Value_YF_Cur","Cum_Proceeds_YF_Cur","Total_Value_YF_Cur","FI_Currency","Unrealized_Cost_FI_Cur","Realized_Cost_FI_Cur","Total_Cost_FI_Cur","Recent_Value_FI_Cur","Cum_Proceeds_FI_Cur","Total_Value_FI_Cur","Total_Count","Private_Count","Public_Count","Realized_Count","Write_Off_Count"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 93","2010","31/03/2010","ES","LS","13 Semiconductors (SC)","312 China","31/03/2015","USD",6e+06,0,6e+06,6976743,0,6976743,"USD",6e+06,0,6e+06,6976743,0,6976743,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 307","2010","31/03/2010","DC","DC","326 Media and Publications","312 China","31/03/2015","USD",4500000,0,4500000,4500000,0,4500000,"USD",4500000,0,4500000,4500000,0,4500000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 308","2010","31/03/2010","DC","DC","154 Online Publications and Content Provider","312 China","31/03/2015","USD",9247065,0,9247065,9247065,0,9247065,"USD",9247065,0,9247065,9247065,0,9247065,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 309","2010","31/03/2010","ES","ES","13 Semiconductors (SC)","111 U.S. California","31/03/2015","USD",0,11350069,11350069,0,13797111,13797111,"USD",0,11350069,11350069,0,13797111,13797111,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 310","2013","31/12/2013","DC","DC","15 Information Services (IS)","312 China","31/03/2015","USD",5500000,0,5500000,11546869,0,11546869,"USD",5500000,0,5500000,11546869,0,11546869,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 311","2010","31/03/2010","ES","LS","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",0,6098648,6098648,0,0,0,"USD",0,6098648,6098648,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 312","2010","31/03/2010","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",4999975,0,4999975,5047610,0,5047610,"USD",4999975,0,4999975,5047610,0,5047610,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 313","2010","31/03/2010","DC","DC","15 Information Services (IS)","312 China","31/03/2015","USD",20700008,0,20700008,20700008,0,20700008,"USD",20700008,0,20700008,20700008,0,20700008,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 13",4.99,"Company 314","2010","31/03/2010","DC","LS","33 Consumer and Business Services","312 China","31/03/2015","USD",9871672,0,9871672,21349145,0,21349145,"USD",9871672,0,9871672,21349145,0,21349145,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 315","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",2727070,0,2727070,7675382,0,7675382,"USD",2727070,0,2727070,7675382,0,7675382,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 316","2013","30/09/2013","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",3307672,0,3307672,3307672,0,3307672,"USD",3307672,0,3307672,3307672,0,3307672,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 317","2013","31/12/2013","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",0,439850,439850,0,453046,453046,"USD",0,439850,439850,0,453046,453046,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 318","2013","31/12/2013","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",6687274,0,6687274,52651876,0,52651876,"USD",6687274,0,6687274,52651876,0,52651876,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 319","2014","30/06/2014","DC","DC","153 Information Providers","312 China","31/03/2015","USD",13195500,0,13195500,13195500,0,13195500,"USD",13195500,0,13195500,13195500,0,13195500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 320","2013","30/09/2013","FU","FU","46 Other","312 China","31/03/2015","USD",661089,0,661089,1133452,0,1133452,"USD",661089,0,661089,1133452,0,1133452,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 321","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",6754380,0,6754380,13145186,0,13145186,"USD",6754380,0,6754380,13145186,0,13145186,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 322","2013","31/03/2013","ES","ES","11 Communications / Networking (CN)","312 China","31/03/2015","USD",6156124,0,6156124,6156124,0,6156124,"USD",6156124,0,6156124,6156124,0,6156124,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 323","2013","31/03/2013","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",1099625,0,1099625,1852924,0,1852924,"USD",1099625,0,1099625,1852924,0,1852924,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 324","2014","30/09/2014","LS","LS","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",11435876,0,11435876,11435876,0,11435876,"USD",11435876,0,11435876,11435876,0,11435876,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 325","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",0,439850,439850,0,449973,449973,"USD",0,439850,439850,0,449973,449973,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 326","2013","31/03/2013","SS","SS","11 Communications / Networking (CN)","312 China","31/03/2015","USD",1759400,0,1759400,15452374,0,15452374,"USD",1759400,0,1759400,15452374,0,15452374,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 327","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",281504,0,281504,281504,0,281504,"USD",281504,0,281504,281504,0,281504,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 328","2012","30/09/2012","LS","LS","315 Speciality Retailers","312 China","31/03/2015","USD",3633162,0,3633162,10428121,0,10428121,"USD",3633162,0,3633162,10428121,0,10428121,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 329","2014","31/03/2014","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",11582716,0,11582716,23980619,0,23980619,"USD",11582716,0,11582716,23980619,0,23980619,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 330","2014","31/03/2014","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",879700,0,879700,2300468,0,2300468,"USD",879700,0,879700,2300468,0,2300468,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 331","2012","30/09/2012","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",12592905,0,12592905,42100682,0,42100682,"USD",12592905,0,12592905,42100682,0,42100682,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 332","2014","31/03/2014","ES","ES","152 Data-Management Services","312 China","31/03/2015","USD",1759400,0,1759400,1759400,0,1759400,"USD",1759400,0,1759400,1759400,0,1759400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 333","2012","30/09/2012","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",0,848516,848516,0,265949,265949,"USD",0,848516,848516,0,265949,265949,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 334","2013","30/09/2013","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",615790,0,615790,615790,0,615790,"USD",615790,0,615790,615790,0,615790,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 335","2012","30/09/2012","ES","ES","335 Hospitality, Sports + Entertainment Facilities","312 China","31/03/2015","USD",12345555,0,12345555,38463344,0,38463344,"USD",12345555,0,12345555,38463344,0,38463344,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 336","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",4398500,0,4398500,6773690,0,6773690,"USD",4398500,0,4398500,6773690,0,6773690,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 337","2014","31/03/2014","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",3958650,0,3958650,3958650,0,3958650,"USD",3958650,0,3958650,3958650,0,3958650,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 14",7.44,"Company 338","2013","31/12/2013","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",5278200,0,5278200,5278200,0,5278200,"USD",5278200,0,5278200,5278200,0,5278200,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 339","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",2899659,0,2899659,2899659,0,2899659,"USD",2899659,0,2899659,2899659,0,2899659,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 340","2013","30/06/2013","ES","ES","328 Industrial Products","315 Taiwan","31/03/2015","USD",1326143,0,1326143,2624450,0,2624450,"USD",1326143,0,1326143,2624450,0,2624450,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 341","2011","31/12/2011","ES","ES","432 Wind","312 China","31/03/2015","USD",1054069,0,1054069,1054069,0,1054069,"USD",1054069,0,1054069,1054069,0,1054069,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 342","2012","31/12/2012","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",11536200,0,11536200,18690000,0,18690000,"USD",11536200,0,11536200,18690000,0,18690000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 343","2013","31/03/2013","ES","ES","151 Consultants","12 Canada","31/03/2015","USD",5653004,0,5653004,9534694,0,9534694,"USD",5653004,0,5653004,9534694,0,9534694,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 344","2014","30/06/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",356214,0,356214,357557,0,357557,"USD",356214,0,356214,357557,0,357557,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 345","2013","30/09/2013","FU","FU","46 Other","45 Other - Rest of World","31/03/2015","USD",1363407,0,1363407,1416466,0,1416466,"USD",1363407,0,1363407,1416466,0,1416466,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 346","2015","31/03/2015","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",509164,0,509164,509164,0,509164,"USD",509164,0,509164,509164,0,509164,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 347","2014","30/06/2014","ES","ES","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",2909509,0,2909509,2909509,0,2909509,"USD",2909509,0,2909509,2909509,0,2909509,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 348","2013","30/06/2013","FU","FU","152 Data-Management Services","312 China","31/03/2015","USD",1774800,0,1774800,1847592,0,1847592,"USD",1774800,0,1774800,1847592,0,1847592,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 349","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1774844,0,1774844,1774844,0,1774844,"USD",1774844,0,1774844,1774844,0,1774844,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 350","2011","31/12/2011","ES","ES","331 Business Services","317 Other - Asia Pacific","31/03/2015","USD",0,452574,452574,0,0,0,"USD",0,452574,452574,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 351","2012","31/03/2012","SS","SS","12 Electronics / Computer Hardware (EC)","11 U.S.","31/03/2015","USD",9317700,0,9317700,12023781,0,12023781,"USD",9317700,0,9317700,12023781,0,12023781,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 352","2012","30/09/2012","SS","SS","14 Software (SW)","317 Other - Asia Pacific","31/03/2015","USD",0,603255,603255,0,0,0,"USD",0,603255,603255,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 353","2014","30/09/2014","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",3549600,0,3549600,3549600,0,3549600,"USD",3549600,0,3549600,3549600,0,3549600,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 354","2012","31/12/2012","ES","ES","333 Educational and Training Services","312 China","31/03/2015","USD",15430765,0,15430765,16634804.62,0,16634804.62,"USD",15430765,0,15430765,16634804.62,0,16634804.62,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 355","2014","31/12/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",1153620,0,1153620,1153620,0,1153620,"USD",1153620,0,1153620,1153620,0,1153620,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 356","2012","31/03/2012","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",7476812,0,7476812,14428132,0,14428132,"USD",7476812,0,7476812,14428132,0,14428132,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 357","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1454754,0,1454754,1430229,0,1430229,"USD",1454754,0,1454754,1430229,0,1430229,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 358","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",9423802,0,9423802,17748000,0,17748000,"USD",9423802,0,9423802,17748000,0,17748000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 359","2012","30/06/2012","ES","ES","11 Communications / Networking (CN)","312 China","31/03/2015","USD",4697586,0,4697586,5255415,0,5255415,"USD",4697586,0,4697586,5255415,0,5255415,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 360","2013","31/03/2013","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",258267,0,258267,258267,0,258267,"USD",258267,0,258267,258267,0,258267,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 361","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1331100,0,1331100,1331100,0,1331100,"USD",1331100,0,1331100,1331100,0,1331100,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 362","2013","31/12/2013","ES","ES","49 Oil & Gas","312 China","31/03/2015","USD",3989554,0,3989554,5906539,0,5906539,"USD",3989554,0,3989554,5906539,0,5906539,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 363","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",16239420,37596,16277016,51905678,0,51905678,"USD",16239420,37596,16277016,51905678,0,51905678,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 364","2013","30/06/2013","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",4703219,0,4703219,4603357,0,4603357,"USD",4703219,0,4703219,4603357,0,4603357,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 365","2012","31/03/2012","SS","SS","331 Business Services","111 U.S. California","31/03/2015","USD",809752,11093,820845,848737,39782,888519,"USD",809752,11093,820845,848737,39782,888519,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 366","2015","31/03/2015","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",1845792,0,1845792,1845792,0,1845792,"USD",1845792,0,1845792,1845792,0,1845792,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 367","2015","31/03/2015","SS","SS","152 Data-Management Services","312 China","31/03/2015","USD",70555,0,70555,70555,0,70555,"USD",70555,0,70555,70555,0,70555,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 368","2014","30/09/2014",NA,"ES","155 Other Online Services","312 China","31/03/2015","USD",887400,0,887400,887400,0,887400,"USD",887400,0,887400,887400,0,887400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 369","2012","30/06/2012","ES","ES","331 Business Services","111 U.S. California","31/03/2015","USD",16396490,0,16396490,16724621,0,16724621,"USD",16396490,0,16396490,16724621,0,16724621,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 370","2012","30/09/2012","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",4437000,0,4437000,8918370,0,8918370,"USD",4437000,0,4437000,8918370,0,8918370,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 371","2014","30/06/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",893357,0,893357,893357,0,893357,"USD",893357,0,893357,893357,0,893357,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 372","2012","31/03/2012","ES","ES","335 Hospitality, Sports + Entertainment Facilities","312 China","31/03/2015","USD",3283380,0,3283380,3283380,0,3283380,"USD",3283380,0,3283380,3283380,0,3283380,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 373","2014","31/12/2014","ES","ES","313 Electronic Commerce","312 China","31/03/2015","USD",443700,0,443700,443700,0,443700,"USD",443700,0,443700,443700,0,443700,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 374","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",2132113,0,2132113,2132113,0,2132113,"USD",2132113,0,2132113,2132113,0,2132113,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 375","2012","30/09/2012","ES","ES","326 Media and Publications","312 China","31/03/2015","USD",5630265,0,5630265,9566799,0,9566799,"USD",5630265,0,5630265,9566799,0,9566799,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 376","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1419840,0,1419840,1419840,0,1419840,"USD",1419840,0,1419840,1419840,0,1419840,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 377","2012","31/03/2012","BO","BO","46 Other","312 China","31/03/2015","USD",985357,0,985357,518129,0,518129,"USD",985357,0,985357,518129,0,518129,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 378","2011","31/12/2011","ES","ES","313 Electronic Commerce","312 China","31/03/2015","USD",5324400,0,5324400,5619207,0,5619207,"USD",5324400,0,5324400,5619207,0,5619207,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 379","2011","31/12/2011","ES","ES","12 Electronics / Computer Hardware (EC)","111 U.S. California","31/03/2015","USD",9761401,0,9761401,13588780,0,13588780,"USD",9761401,0,9761401,13588780,0,13588780,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 380","2013","31/12/2013","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",1447635,0,1447635,1447635,0,1447635,"USD",1447635,0,1447635,1447635,0,1447635,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 381","2015","31/03/2015","SS","SS","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",438376,0,438376,438376,0,438376,"USD",438376,0,438376,438376,0,438376,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 382","2013","30/09/2013","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",9761400,0,9761400,97906842,0,97906842,"USD",9761400,0,9761400,97906842,0,97906842,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 383","2012","31/12/2012","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",0,2662200,2662200,0,14225022,14225022,"USD",0,2662200,2662200,0,14225022,14225022,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 384","2013","31/03/2013","FU","FU","14 Software (SW)","111 U.S. California","31/03/2015","USD",1307215,0,1307215,1407387,0,1407387,"USD",1307215,0,1307215,1407387,0,1407387,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 385","2014","31/03/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",7099200,0,7099200,26153169,0,26153169,"USD",7099200,0,7099200,26153169,0,26153169,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 386","2013","30/06/2013","ES","ES","14 Software (SW)","111 U.S. California","31/03/2015","USD",6211800,0,6211800,7276680,0,7276680,"USD",6211800,0,6211800,7276680,0,7276680,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 387","2013","30/09/2013","LS","LS","313 Electronic Commerce","312 China","31/03/2015","USD",2662200,0,2662200,2662200,0,2662200,"USD",2662200,0,2662200,2662200,0,2662200,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 388","2014","31/12/2014","ES","ES","46 Other","312 China","31/03/2015","USD",2839680,0,2839680,2839680,0,2839680,"USD",2839680,0,2839680,2839680,0,2839680,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 389","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",5324400,0,5324400,5324400,0,5324400,"USD",5324400,0,5324400,5324400,0,5324400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 390","2015","31/03/2015","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",542023,0,542023,542023,0,542023,"USD",542023,0,542023,542023,0,542023,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 391","2015","31/03/2015","SS","SS","22 Medical Information Systems (MIS)","312 China","31/03/2015","USD",865756,0,865756,865756,0,865756,"USD",865756,0,865756,865756,0,865756,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 392","2013","30/06/2013","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",0,0,0,0,0,0,"USD",0,0,0,0,0,0,"0","0","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 393","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1554104,0,1554104,2489157,0,2489157,"USD",1554104,0,1554104,2489157,0,2489157,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 394","2013","30/09/2013","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",8874000,0,8874000,14198386,0,14198386,"USD",8874000,0,8874000,14198386,0,14198386,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 395","2015","31/03/2015","ES","ES","312 Broadlines: Mass Merchandising","312 China","31/03/2015","USD",5791350,0,5791350,5791350,0,5791350,"USD",5791350,0,5791350,5791350,0,5791350,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 396","2014","31/12/2014","FU","FU","334 Financial Institutions and Services","312 China","31/03/2015","USD",727377,0,727377,706873,0,706873,"USD",727377,0,727377,706873,0,706873,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 15",1.95,"Company 397","2013","31/03/2013","SS","SS","49 Oil & Gas","312 China","31/03/2015","USD",1415570,0,1415570,1660553,0,1660553,"USD",1415570,0,1415570,1660553,0,1660553,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 398","2014","30/06/2014","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",7070325,0,7070325,7070325,0,7070325,"USD",7070325,0,7070325,7070325,0,7070325,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 399","2014","31/03/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",10186438,0,10186438,28393313,0,28393313,"USD",10186438,0,10186438,28393313,0,28393313,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 400","2011","30/09/2011","ES","ES","14 Software (SW)","11 U.S.","31/03/2015","USD",2928413,0,2928413,0,0,0,"USD",2928413,0,2928413,0,0,0,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 401","2011","31/12/2011","LS","ES","43 Energy","312 China","31/03/2015","USD",2435867,1032104,3467971,4590800,1032104,5622904,"USD",2435867,1032104,3467971,4590800,1032104,5622904,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 402","2014","31/03/2014","DC","DC","43 Energy","312 China","31/03/2015","USD",11940523,0,11940523,13359045,0,13359045,"USD",11940523,0,11940523,13359045,0,13359045,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 403","2013","30/09/2013","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",11213338,0,11213338,23224670,0,23224670,"USD",11213338,0,11213338,23224670,0,23224670,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 404","2013","31/12/2013","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",5816664,0,5816664,5816664,0,5816664,"USD",5816664,0,5816664,5816664,0,5816664,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 405","2013","30/09/2013","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",0,1938889,1938889,0,1938889,1938889,"USD",0,1938889,1938889,0,1938889,1938889,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 406","2013","30/06/2013","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",2908333,0,2908333,1454166,0,1454166,"USD",2908333,0,2908333,1454166,0,1454166,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 407","2011","30/09/2011","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",8482635,0,8482635,14716320,0,14716320,"USD",8482635,0,8482635,14716320,0,14716320,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 408","2012","30/06/2012","DC","PU","14 Software (SW)","312 China","31/03/2015","USD",5320822,8640848,13961670,4301034,19445538,23746572,"USD",5320822,8640848,13961670,4301034,19445538,23746572,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 409","2012","31/12/2012","ES","ES","21 Healthcare Services (HS)","312 China","31/03/2015","USD",17399643,0,17399643,39235926,0,39235926,"USD",17399643,0,17399643,39235926,0,39235926,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 410","2011","31/12/2011","DC","DC","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",27491709,0,27491709,40400696,0,40400696,"USD",27491709,0,27491709,40400696,0,40400696,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 411","2013","30/09/2013","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",8110164,0,8110164,12902192,0,12902192,"USD",8110164,0,8110164,12902192,0,12902192,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 16",1.72,"Company 412","2013","30/09/2013","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",2423611,0,2423611,1211805,0,1211805,"USD",2423611,0,2423611,1211805,0,1211805,"1","1","0","0","0"
